법정동코드, 주택가격 ,행정구,상세주소
4511110700,37400000,완산구,경원동3가
4511110700,56800000,완산구,경원동3가
4511110700,55000000,완산구,경원동3가
4511110700,37900000,완산구,경원동3가
4511110700,33300000,완산구,경원동3가
4511110700,48600000,완산구,경원동3가
4511110700,41900000,완산구,경원동3가
4511110700,32700000,완산구,경원동3가
4511110700,39900000,완산구,경원동3가
4511110700,45000000,완산구,경원동3가
4511110700,40800000,완산구,경원동3가
4511110700,41700000,완산구,경원동3가
4511110700,42600000,완산구,경원동3가
4511110700,29500000,완산구,경원동3가
4511110700,23700000,완산구,경원동3가
4511110700,39000000,완산구,경원동3가
4511110700,38900000,완산구,경원동3가
4511110700,18700000,완산구,경원동3가
4511110700,35500000,완산구,경원동3가
4511110700,48300000,완산구,경원동3가
4511110700,66200000,완산구,경원동3가
4511110700,44700000,완산구,경원동3가
4511110700,51600000,완산구,경원동3가
4511110700,29900000,완산구,경원동3가
4511110700,45400000,완산구,경원동3가
4511110700,32600000,완산구,경원동3가
4511110700,14900000,완산구,경원동3가
4511110700,11500000,완산구,경원동3가
4511110700,16100000,완산구,경원동3가
4511110700,13100000,완산구,경원동3가
4511110700,11700000,완산구,경원동3가
4511110700,7470000,완산구,경원동3가
4511110700,42800000,완산구,경원동3가
4511110700,6400000,완산구,경원동3가
4511110700,51400000,완산구,경원동3가
4511110700,70500000,완산구,경원동3가
4511110700,25800000,완산구,경원동3가
4511110700,35800000,완산구,경원동3가
4511110700,75100000,완산구,경원동3가
4511110700,56600000,완산구,경원동3가
4511110700,27600000,완산구,경원동3가
4511110700,32700000,완산구,경원동3가
4511110700,16700000,완산구,경원동3가
4511110700,56500000,완산구,경원동3가
4511110700,17100000,완산구,경원동3가
4511110700,36800000,완산구,경원동3가
4511110700,14400000,완산구,경원동3가
4511110700,81500000,완산구,경원동3가
4511110700,20100000,완산구,경원동3가
4511110700,16400000,완산구,경원동3가
4511110700,39000000,완산구,경원동3가
4511110700,25000000,완산구,경원동3가
4511110700,1480000,완산구,경원동3가
4511110700,1130000,완산구,경원동3가
4511110700,412000000,완산구,경원동3가
4511110700,35400000,완산구,경원동3가
4511110700,50100000,완산구,경원동3가
4511110700,25800000,완산구,경원동3가
4511110700,28300000,완산구,경원동3가
4511110700,802000000,완산구,경원동3가
4511110700,18700000,완산구,경원동3가
4511110700,158000000,완산구,경원동3가
4511110700,100000000,완산구,경원동3가
4511110700,43600000,완산구,경원동3가
4511110700,181000000,완산구,경원동3가
4511110700,255000000,완산구,경원동3가
4511110700,22800000,완산구,경원동3가
4511110700,63800000,완산구,경원동3가
4511110700,240000000,완산구,경원동3가
4511110700,561000000,완산구,경원동3가
4511110700,30200000,완산구,경원동3가
4511110700,141000000,완산구,경원동3가
4511110700,274000000,완산구,경원동3가
4511110700,74100000,완산구,경원동3가
4511110700,46900000,완산구,경원동3가
4511110700,87000000,완산구,경원동3가
4511110700,97100000,완산구,경원동3가
4511110700,27400000,완산구,경원동3가
4511110700,17900000,완산구,경원동3가
4511110700,94000000,완산구,경원동3가
4511110700,37900000,완산구,경원동3가
4511110700,48000000,완산구,경원동3가
4511110700,159000000,완산구,경원동3가
4511110700,190000000,완산구,경원동3가
4511110700,41400000,완산구,경원동3가
4511110700,86100000,완산구,경원동3가
4511110700,57300000,완산구,경원동3가
4511110700,28400000,완산구,경원동3가
4511110700,34800000,완산구,경원동3가
4511110700,51200000,완산구,경원동3가
4511110700,25800000,완산구,경원동3가
4511110700,55800000,완산구,경원동3가
4511110700,47600000,완산구,경원동3가
4511110700,46600000,완산구,경원동3가
4511110700,82300000,완산구,경원동3가
4511110700,70500000,완산구,경원동3가
4511110700,57500000,완산구,경원동3가
4511110700,99800000,완산구,경원동3가
4511110700,37900000,완산구,경원동3가
4511110700,51300000,완산구,경원동3가
4511110700,30500000,완산구,경원동3가
4511110700,28100000,완산구,경원동3가
4511110700,58000000,완산구,경원동3가
4511110700,320000000,완산구,경원동3가
4511110700,55400000,완산구,경원동3가
4511110700,73700000,완산구,경원동3가
4511110700,117000000,완산구,경원동3가
4511110700,48300000,완산구,경원동3가
4511110700,37500000,완산구,경원동3가
4511110700,18500000,완산구,경원동3가
4511110700,50100000,완산구,경원동3가
4511110700,49100000,완산구,경원동3가
4511110700,63500000,완산구,경원동3가
